HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
126,"61-70","m",9,"92","Welsh Terrier",,,,"K",2011,"w","schwarz/braun"
171,"61-70","m",3,"31","Berner Sennenhund",,,,"I",2009,"m","tricolor"
574,"61-70","w",2,"23","Mischling gross",,,,"I",2013,"w","schwarz"
695,"41-50","m",6,"63","Labrador Retriever",,,,"I",2012,"w","braun"
893,"61-70","w",7,"71","Mittelschnauzer",,,,"I",2010,"w","schwarz"
916,"41-50","m",3,"34","Mischling klein",,,,"K",2015,"w","hellbraun"
1177,"51-60","m",10,"102","Shih Tzu",,,,"K",2011,"m","schwarz/weiss"
4050,"41-50","w",11,"111","Bichon frisé",,,,"K",2012,"m","weiss"
4054,"51-60","w",11,"111","Lagotto Romagnolo",,,,"I",2016,"w","weiss/beige"
4135,"41-50","w",9,"91","Mischling klein",,,,"K",2016,"w","schwarz"
4155,"61-70","w",9,"92","Zwergdackel",,,,"K",2002,"m","schwarz/grau"
4206,"71-80","w",8,"82","Havaneser",,,,"K",2016,"w","hellbraun/weiss"
4239,"61-70","w",10,"102","Pinscher","Mischling",,,"K",2013,"w","braun/schwarz"
4261,"71-80","w",7,"71","Labrador Retriever",,,,"I",2012,"w","beige"
4281,"61-70","w",9,"91","Chihuahua",,,,"K",2011,"w","hellbraun"
4281,"61-70","w",9,"91","Chihuahua",,,,"K",2014,"w","schwarz/weiss/braun"
4726,"51-60","m",5,"52","Golden Retriever",,,,"I",2013,"w","creme"
4726,"51-60","m",5,"52","Mischling klein",,,,"K",2007,"m","schwarz"
4747,"61-70","m",2,"24","Chihuahua",,,,"K",2013,"m","weiss/braun"
4801,"51-60","m",4,"42","Tibetan Spaniel",,,,"K",2013,"w","schwarz/braun"
4850,"51-60","m",4,"42","Chihuahua",,,,"K",2013,"w","beige"
5040,"61-70","m",10,"102","Labrador Retriever",,,,"I",2016,"w","gelb"
5088,"51-60","m",7,"72","Labrador Retriever",,,,"I",2014,"w","schwarz"
5113,"61-70","m",11,"119","Beagle",,,,"K",2010,"w","tricolor"
5225,"61-70","m",3,"34","Lagotto Romagnolo",,,,"I",2007,"m","braun"
5227,"71-80","m",10,"101","Border Terrier",,,,"K",2011,"w","tricolor"
5348,"61-70","m",7,"74","Magyar Viszla",,,,"I",2005,"w","gelb"
5406,"51-60","m",6,"61","Französische Bulldogge",,,,"K",2013,"m","weiss/schwarz"
5740,"51-60","m",9,"92","Jack Russel Terrier",,,,"K",2015,"w","weiss/braun"
6071,"71-80","m",3,"34","Pointer",,,,"I",2012,"w","schwarz/braun"
6071,"71-80","m",3,"34","Pointer","Mischling",,,"I",2016,"m","schwarz"
6078,"51-60","w",12,"121","Chihuahua",,,,"K",2011,"w","braun"
6078,"51-60","w",12,"121","Chihuahua",,,,"K",2011,"w","braun/weiss"
6130,"61-70","w",10,"101","Mischling gross",,,,"I",2017,"m","schwarz"
6469,"51-60","m",11,"111","Mops",,,,"K",2011,"m","beige"
6594,"51-60","m",7,"72","Staffordshire Bull Terrier",,,,"II",2005,"w","mahagoni/weiss"
6600,"51-60","m",6,"63","Mischling klein",,,,"K",2004,"m","braun"
6617,"61-70","w",12,"122","Grosspudel",,,,"I",2012,"w","weiss"
6619,"41-50","w",11,"111","Lhasa Apso",,,,"K",2015,"w","golden"
6629,"51-60","w",4,"41","Chihuahua",,,,"K",2010,"m","black/tan"
6629,"51-60","w",4,"41","Chihuahua",,,,"K",2010,"w","beige"
6640,"51-60","m",8,"82","Englische Bulldogge",,,,"I",2011,"m","braun/weiss"
12409,"71-80","m",9,"91","Mischling klein",,,,"K",2008,"w","weiss/schwarz/braun"
13193,"51-60","m",11,"111","Langhaardackel",,,,"K",2005,"w","hellbraun"
14362,"61-70","m",7,"72","Zwergdachshund",,,,"K",2004,"w","saufarben"
14387,"61-70","m",5,"52","Zwergpinscher",,,,"K",2015,"m","schwarz/braun"
14550,"81-90","m",12,"122","Biewer Yorkshire Terrier",,,,"K",2015,"w","tricolor"
14693,"41-50","m",11,"111","Chihuahua",,,,"K",2007,"w","weiss/grau"
15456,"41-50","m",2,"21","Chihuahua",,,,"K",2010,"m","schwarz"
15456,"41-50","m",2,"21","Chihuahua",,,,"K",2015,"w","schwarz/weiss"
15490,"61-70","m",9,"92","Parson Jack Russell Terrier",,,,"K",2015,"m","weiss/blau"
15530,"61-70","m",2,"21","Mops",,,,"K",2017,"m","weiss/beige"
15639,"51-60","m",11,"119","Malteser",,,,"K",2013,"w","weiss"
18020,"51-60","m",5,"52","Labrador Retriever",,,,"I",2011,"w","schwarz"
18254,"61-70","w",11,"115","Bolonka Zwetna",,,,"K",2017,"m","weiss"
18360,"41-50","w",3,"31","Husky",,,,"I",2010,"w","weiss"
18416,"61-70","m",7,"72","Zwergspitz",,,,"K",2016,"m","weiss"
18462,"51-60","m",6,"63","Border Collie",,,,"I",2015,"m","tricolor"
18805,"41-50","w",6,"63","Jack Russel Terrier",,,,"K",2008,"m","tricolor"
